station,lat,lon
AR-SLu,-33.4648,-66.4598
AR-Vir,-28.2395,-56.1886
AT-Neu,47.1167,11.3175
AU-ASM,-22.2830,133.2490
AU-Ade,-13.0769,131.1178
AU-Cpr,-34.0021,140.5891
AU-Cum,-33.6152,150.7236
AU-DaP,-14.0633,131.3181
AU-DaS,-14.1593,131.3881
AU-Dry,-15.2588,132.3706
AU-Emr,-23.8587,148.4746
AU-Fog,-12.5452,131.3072
AU-GWW,-30.1913,120.6541
AU-Gin,-31.3764,115.7138
AU-How,-12.4943,131.1523
AU-Lox,-34.4704,140.6551
AU-RDF,-14.5636,132.4776
AU-Rig,-36.6499,145.5759
AU-Rob,-17.1175,145.6301
AU-Stp,-17.1507,133.3502
AU-TTE,-22.2870,133.6400
AU-Tum,-35.6566,148.1517
AU-Wac,-37.4259,145.1878
AU-Whr,-36.6732,145.0294
AU-Wom,-37.4222,144.0944
AU-Ync,-34.9893,146.2907
BE-Bra,51.3076,4.5198
BE-Lon,50.5516,4.7462
BE-Vie,50.3049,5.9981
BR-Npw,-16.4980,-56.4120
BR-Sa1,-2.8567,-54.9589
BR-Sa3,-3.0180,-54.9714
BW-Gum,-18.9647,22.3711
BW-Nxr,-19.5481,23.1792
CA-Gro,48.2167,-82.1556
CA-Man,55.8796,-98.4808
CA-NS1,55.8792,-98.4839
CA-NS2,55.9058,-98.5247
CA-NS3,55.9117,-98.3822
CA-NS4,55.9144,-98.3806
CA-NS5,55.8631,-98.4850
CA-NS6,55.9167,-98.9644
CA-NS7,56.6358,-99.9483
CA-Oas,53.6289,-106.1978
CA-Obs,53.9872,-105.1178
CA-Qfo,49.6925,-74.3421
CA-SCB,61.3089,-121.2984
CA-SCC,61.3079,-121.2992
CA-SF1,54.4850,-105.8176
CA-SF2,54.2539,-105.8775
CA-SF3,54.0916,-106.0053
CA-TP1,42.6609,-80.5595
CA-TP2,42.7744,-80.4588
CA-TP3,42.7068,-80.3483
CA-TP4,42.7102,-80.3574
CA-TPD,42.6353,-80.5577
CG-Tch,-4.2892,11.6564
CH-Cha,47.2102,8.4104
CH-Dav,46.8153,9.8559
CH-Fru,47.1158,8.5378
CH-Lae,47.4783,8.3644
CH-Oe1,47.2858,7.7319
CH-Oe2,47.2864,7.7337
CN-Cha,42.4025,128.0958
CN-Cng,44.5934,123.5092
CN-Dan,30.4978,91.0664
CN-Din,23.1733,112.5361
CN-Du2,42.0467,116.2836
CN-Du3,42.0551,116.2809
CN-Ha2,37.6086,101.3269
CN-HaM,37.3700,101.1800
CN-Hgu,32.8453,102.5900
CN-Qia,26.7414,115.0581
CN-Sw2,41.7902,111.8971
CZ-BK1,49.5021,18.5369
CZ-BK2,49.4944,18.5429
CZ-wet,49.0247,14.7704
DE-Akm,53.8662,13.6834
DE-Dgw,53.1514,13.0543
DE-Geb,51.0997,10.9146
DE-Gri,50.9500,13.5126
DE-Hai,51.0792,10.4522
DE-Hte,54.2103,12.1761
DE-Kli,50.8931,13.5224
DE-Lkb,49.0996,13.3047
DE-Lnf,51.3282,10.3678
DE-Obe,50.7867,13.7213
DE-RuR,50.6219,6.3041
DE-RuS,50.8659,6.4471
DE-Seh,50.8706,6.4497
DE-SfN,47.8064,11.3275
DE-Spw,51.8922,14.0337
DE-Tha,50.9626,13.5651
DE-Zrk,53.8759,12.8890
DK-Eng,55.6905,12.1918
DK-Fou,56.4842,9.5872
DK-Sor,55.4859,11.6446
ES-Amo,36.8336,-2.2523
ES-LJu,36.9266,-2.7521
ES-LgS,37.0979,-2.9658
ES-Ln2,36.9695,-3.4758
FI-Hyy,61.8474,24.2948
FI-Jok,60.8986,23.5134
FI-Let,60.6418,23.9595
FI-Lom,67.9972,24.2092
FI-Si2,61.8372,24.1967
FI-Sii,61.8327,24.1928
FI-Sod,67.3624,26.6386
FR-Fon,48.4764,2.7801
FR-Gri,48.8442,1.9519
FR-LBr,44.7171,-0.7693
FR-LGt,47.3229,2.2841
FR-Pue,43.7413,3.5957
GF-Guy,5.2788,-52.9249
GH-Ank,5.2685,-2.6942
GL-NuF,64.1308,-51.3861
GL-ZaF,74.4814,-20.5545
