airport_code,lat_degN,lon_degE,hgt_m_MSL,airport_radius_deg
atlanta,ATL,33.64,-84.43,313,0.7
dallas_fw,DFW,32.90,-97.04,167,0.7
denver,DEN,39.86,-104.68,1615,0.7
chicago_ohare,ORD,41.98,-87.91,204,0.7
los_angeles,LAX,33.94,-118.41,39,0.7
new_york,JFK,40.64,-73.78,4,0.7
las_vegas,LAS,36.08,-115.16,665,0.7
orlando,MCO,28.43,-81.32,29,0.7
miami,MIA,25.80,-80.29,3,0.7
charlotte,CLT,35.21,-80.95,228,0.7
seattle,SEA,47.45,-122.31,132,0.7
phoenix,PHX,33.43,-112.01,346,0.7
newark,EWR,40.69,-74.17,5,0.7
san_francisco,SFO,37.62,-122.38,4,0.7
houston_bush,IAH,29.98,-95.35,29,0.7
boston,BOS,42.36,-71.01,6,0.7
ft_lauderdale,FLL,26.07,-80.15,20,0.7
minneapolis,MSP,44.88,-93.22,257,0.7
laguardia,LGA,40.78,-73.87,6,0.7
detroit,DTW,42.21,-83.35,197,0.7
philadelphia,PHL,39.87,-75.24,11,0.7
salt_lake_city,SLC,40.79,-111.98,1290,0.7
dc_reagan,DCA,38.85,-77.04,4,0.7
san_diego,SAN,32.73,-117.19,5,0.7
baltimore,BWI,39.18,-76.67,44,0.7
tampa,TPA,27.98,-82.53,8,0.7
austin,AUS,30.19,-97.67,165,0.7
nashville,BNA,36.12,-86.68,183,0.7
honolulu,HNL,21.32,-157.92,4,0.7
portland,PDX,45.59,-122.60,9,0.7
st_louis,STL,38.75,-90.37,188,0.7
sacramento,SMF,38.70,-121.59,8,0.7
new_orleans,MSY,29.99,-90.26,1,0.7
raleigh,RDU,35.88,-78.79,133,0.7
san_jose,SJC,37.36,-121.93,19,0.7
ft_meyers,RSW,26.54,-81.76,9,0.7
san_juan_pr,SJU,18.44,-66.00,3,0.7
kansas_city,MCI,39.30,-94.71,313,0.7
san_antonio,SAT,29.53,-98.47,247,0.7
cleveland,CLE,41.41,-81.85,244,0.7
indianapolis,IND,39.72,-86.29,243,0.7
maui,OGG,20.90,-156.43,17,0.7
pittsburg,PIT,40.49,-80.23,367,0.7
cincinnati,CVG,39.05,-84.67,273,0.7
columbus,CMH,40.00,-82.89,248,0.7
jacksonville,JAX,30.49,-81.69,9,0.7
hartford,BDL,41.94,-72.68,53,0.7
milwaukee,MKE,42.95,-87.90,222,0.7
charleston,CHS,32.90,-80.04,14,0.7
anchorage,ANC,61.17,-150.00,46,0.7
albuquerque,ABQ,35.04,-106.61,1632,0.7
boise,BOI,43.56,-116.22,875,0.7
omaha,OMA,41.30,-95.89,300,0.7
memphis,MEM,35.04,-89.98,104,0.7
reno,RNO,39.50,-119.77,1346,0.7
richmond,RIC,37.51,-77.32,50,0.7
norfolk,ORF,36.90,-76.20,8,0.7
buffalo,BUF,42.94,-78.73,227,0.7
el_paso,ELP,31.81,-106.38,363,0.7
billings,BIL,45.81,-108.54,1113,0.7
des_moines,DSM,41.53,-93.66,292,0.7
fargo,FAR,46.92,-96.82,275,0.7
sioux_falls,FSD,43.58,-96.74,435,0.7
rapid_city,RAP,44.05,-103.06,977,0.7
jackson_hole,JAC,43.61,-110.74,1966,0.7
grand_junction,GJT,39.12,-108.52,1481,0.7
oklahoma_city,OKC,35.39,-97.60,395,0.7
wichita,ICT,37.65,-97.43,406,0.7
little_rock,LIT,34.73,-92.23,81,0.7
huntsville,HSV,34.64,-86.78,192,0.7
jackson,JAN,32.31,-90.08,105,0.7
